Species,Period,Season,Hatchlings,Nests
Caretta caretta,AS,2015,42226,545
Caretta caretta,AS,2016,43347,607
Caretta caretta,AS,2017,37380,447
Caretta caretta,AS,2018,31771,469
Caretta caretta,AS,2019,31772,491
Caretta caretta,BS,2010,27548,316
Caretta caretta,BS,2011,23010,278
Caretta caretta,BS,2012,28117,484
Caretta caretta,BS,2013,27568,371
Caretta caretta,BS,2014,38136,515
Caretta caretta,AS,2015,21317,288
Caretta caretta,AS,2016,32490,610
Caretta caretta,AS,2017,16043,344
Caretta caretta,AS,2018,25640,371
Caretta caretta,AS,2019,8562,285
Caretta caretta,BS,2010,23080,257
Caretta caretta,BS,2011,17093,224
Caretta caretta,BS,2012,14209,337
Caretta caretta,BS,2013,25619,306
Caretta caretta,BS,2014,28699,360
Caretta caretta,AS,2015,28450,282
Caretta caretta,AS,2016,10105,97
Caretta caretta,AS,2017,10004,88
Caretta caretta,AS,2018,5834,55
Caretta caretta,AS,2019,6829,73
Caretta caretta,BS,2010,2734,31
Caretta caretta,BS,2011,10544,120
Caretta caretta,BS,2012,15442,167
Caretta caretta,BS,2013,21816,207
Caretta caretta,BS,2014,32068,318
Caretta caretta,AS,2015,3563,39
Caretta caretta,AS,2016,10352,136
Caretta caretta,AS,2017,4709,63
Caretta caretta,AS,2018,2169,30
Caretta caretta,AS,2019,2607,34
Caretta caretta,BS,2010,6352,77
Caretta caretta,BS,2011,3004,50
Caretta caretta,BS,2012,8385,120
Caretta caretta,BS,2013,5653,78
Caretta caretta,BS,2014,7470,98
Caretta caretta,AS,2015,108,16
Caretta caretta,AS,2016,2994,33
Caretta caretta,AS,2017,0,10
Caretta caretta,AS,2018,2221,60
Caretta caretta,AS,2019,202,29
Caretta caretta,BS,2010,1380,16
Caretta caretta,BS,2011,330,9
Caretta caretta,BS,2012,687,20
Caretta caretta,BS,2013,797,30
Caretta caretta,BS,2014,367,44
Caretta caretta,AS,2015,26961,342
Caretta caretta,AS,2016,47953,549
Caretta caretta,AS,2017,15891,312
Caretta caretta,AS,2018,27089,343
Caretta caretta,AS,2019,24686,460
Caretta caretta,BS,2010,15872,187
Caretta caretta,BS,2011,18053,194
Caretta caretta,BS,2012,15584,339
Caretta caretta,BS,2013,27596,333
Caretta caretta,BS,2014,29751,370
Caretta caretta,AS,2015,3146,89
Caretta caretta,AS,2016,10082,175
Caretta caretta,AS,2017,7900,131
Caretta caretta,AS,2018,12665,231
Caretta caretta,AS,2019,5837,88
Caretta caretta,BS,2010,7899,92
Caretta caretta,BS,2011,4188,62
Caretta caretta,BS,2012,5776,144
Caretta caretta,BS,2013,3548,58
Caretta caretta,BS,2014,6839,139
Caretta caretta,AS,2015,330,3
Caretta caretta,AS,2016,744,8
Caretta caretta,AS,2017,303,3
Caretta caretta,AS,2018,483,5
Caretta caretta,AS,2019,361,5
Caretta caretta,BS,2010,107,1
Caretta caretta,BS,2011,0,0
Caretta caretta,BS,2012,306,3
Caretta caretta,BS,2013,312,4
Caretta caretta,BS,2014,694,7
Caretta caretta,AS,2015,2843,59
Caretta caretta,AS,2016,9475,239
Caretta caretta,AS,2017,7638,136
Caretta caretta,AS,2018,20008,260
Caretta caretta,AS,2019,11703,161
Caretta caretta,BS,2010,6156,75
Caretta caretta,BS,2011,4936,69
Caretta caretta,BS,2012,5455,74
Caretta caretta,BS,2013,9237,109
Caretta caretta,BS,2014,14566,186
Caretta caretta,AS,2015,5684,89
Caretta caretta,AS,2016,9171,194
Caretta caretta,AS,2017,5606,100
Caretta caretta,AS,2018,11460,197
Caretta caretta,AS,2019,7484,119
Caretta caretta,BS,2010,5293,95
Caretta caretta,BS,2011,2455,80
Caretta caretta,BS,2012,4117,133
Caretta caretta,BS,2013,3723,69
Caretta caretta,BS,2014,2998,66
Caretta caretta,AS,2015,4157,80
Caretta caretta,AS,2016,6880,128
Caretta caretta,AS,2017,4129,29
Caretta caretta,AS,2018,12393,144
Caretta caretta,AS,2019,5856,78
Caretta caretta,BS,2010,5047,74
Caretta caretta,BS,2011,3416,44
Caretta caretta,BS,2012,2350,67
Caretta caretta,BS,2013,4719,86
Caretta caretta,BS,2014,4532,79
Caretta caretta,AS,2015,1367,16
Caretta caretta,AS,2016,2550,36
Caretta caretta,AS,2017,1353,14
Caretta caretta,AS,2018,1616,20
Caretta caretta,AS,2019,1617,19
Caretta caretta,BS,2010,7901,98
Caretta caretta,BS,2011,296,5
Caretta caretta,BS,2012,1687,21
Caretta caretta,BS,2013,1560,17
Caretta caretta,BS,2014,4504,46
Caretta caretta,AS,2015,10536,193
Caretta caretta,AS,2016,13859,301
Caretta caretta,AS,2017,12476,194
Caretta caretta,AS,2018,12339,229
Caretta caretta,AS,2019,5900,301
Caretta caretta,BS,2010,9132,127
Caretta caretta,BS,2011,12088,151
Caretta caretta,BS,2012,9970,259
Caretta caretta,BS,2013,9840,183
Caretta caretta,BS,2014,14329,239
Caretta caretta,AS,2015,35728,516
Caretta caretta,AS,2016,54115,713
Caretta caretta,AS,2017,29838,432
Caretta caretta,AS,2018,39918,440
Caretta caretta,AS,2019,38615,448
Caretta caretta,BS,2010,20386,291
Caretta caretta,BS,2011,18896,243
Caretta caretta,BS,2012,32580,477
Caretta caretta,BS,2013,25897,321
Caretta caretta,BS,2014,34371,473
Caretta caretta,AS,2015,6287,102
Caretta caretta,AS,2016,25424,315
Caretta caretta,AS,2017,11756,152
Caretta caretta,AS,2018,10206,142
Caretta caretta,AS,2019,14986,216
Caretta caretta,BS,2010,10983,134
Caretta caretta,BS,2011,9090,102
Caretta caretta,BS,2012,9373,162
Caretta caretta,BS,2013,12397,143
Caretta caretta,BS,2014,14917,186
Caretta caretta,AS,2015,2132,45
Caretta caretta,AS,2016,2935,52
Caretta caretta,AS,2017,2281,64
Caretta caretta,AS,2018,3299,34
Caretta caretta,AS,2019,2823,39
Caretta caretta,BS,2010,1445,17
Caretta caretta,BS,2011,2478,29
Caretta caretta,BS,2012,1039,18
Caretta caretta,BS,2013,1667,20
Caretta caretta,BS,2014,1685,28
Chelonia mydas,AS,2015,99924,1301
Chelonia mydas,AS,2016,41384,485
Chelonia mydas,AS,2017,151486,1900
Chelonia mydas,AS,2018,22671,380
Chelonia mydas,AS,2019,96827,1062
