Site,Camp,Season,BeachExt,Variable,SarVolMax,Period,Cm,Cc
1,Contoy Is,2010,4.9,Nests,High,BS,183,16
1,Contoy Is,2011,4.9,Nests,High,BS,116,9
1,Contoy Is,2012,4.9,Nests,High,BS,161,20
1,Contoy Is,2013,4.9,Nests,High,BS,835,30
1,Contoy Is,2014,4.9,Nests,High,BS,659,44
1,Contoy Is,2015,4.9,Nests,High,AS,1160,16
1,Contoy Is,2016,4.9,Nests,High,AS,209,33
1,Contoy Is,2017,4.9,Nests,High,AS,213,10
1,Contoy Is,2018,4.9,Nests,High,AS,238,60
1,Contoy Is,2019,4.9,Nests,High,AS,350,29
1,Contoy Is,2010,4.9,Hatchlings,High,BS,16465,1380
1,Contoy Is,2011,4.9,Hatchlings,High,BS,6541,330
1,Contoy Is,2012,4.9,Hatchlings,High,BS,11657,687
1,Contoy Is,2013,4.9,Hatchlings,High,BS,57795,797
1,Contoy Is,2014,4.9,Hatchlings,High,BS,31186,367
1,Contoy Is,2015,4.9,Hatchlings,High,AS,36906,108
1,Contoy Is,2016,4.9,Hatchlings,High,AS,15756,2994
1,Contoy Is,2017,4.9,Hatchlings,High,AS,8973,0
1,Contoy Is,2018,4.9,Hatchlings,High,AS,8421,2221
1,Contoy Is,2019,4.9,Hatchlings,High,AS,8890,202
2,Cancun,2010,12,Nests,Regular,BS,4310,31
2,Cancun,2011,12,Nests,Regular,BS,4896,120
2,Cancun,2012,12,Nests,Regular,BS,5049,167
2,Cancun,2013,12,Nests,Regular,BS,7680,207
2,Cancun,2014,12,Nests,Regular,BS,2887,318
2,Cancun,2015,12,Nests,Regular,AS,8260,282
2,Cancun,2016,12,Nests,Regular,AS,3180,97
2,Cancun,2017,12,Nests,Regular,AS,11044,88
2,Cancun,2018,12,Nests,Regular,AS,2908,55
2,Cancun,2019,12,Nests,Regular,AS,11570,73
2,Cancun,2010,12,Hatchlings,Regular,BS,417330,2734
2,Cancun,2011,12,Hatchlings,Regular,BS,452425,10544
2,Cancun,2012,12,Hatchlings,Regular,BS,508892,15442
2,Cancun,2013,12,Hatchlings,Regular,BS,831808,21816
2,Cancun,2014,12,Hatchlings,Regular,BS,281455,32068
2,Cancun,2015,12,Hatchlings,Regular,AS,849137,28450
2,Cancun,2016,12,Hatchlings,Regular,AS,298962,10105
2,Cancun,2017,12,Hatchlings,Regular,AS,1031905,10004
2,Cancun,2018,12,Hatchlings,Regular,AS,303966,5834
2,Cancun,2019,12,Hatchlings,Regular,AS,1249423,6829
3,Palace-Cun,2010,0.3,Nests,Regular,BS,457,1
3,Palace-Cun,2011,0.3,Nests,Regular,BS,246,0
3,Palace-Cun,2012,0.3,Nests,Regular,BS,292,3
3,Palace-Cun,2013,0.3,Nests,Regular,BS,402,4
3,Palace-Cun,2014,0.3,Nests,Regular,BS,155,7
3,Palace-Cun,2015,0.3,Nests,Regular,AS,547,3
3,Palace-Cun,2016,0.3,Nests,Regular,AS,240,8
3,Palace-Cun,2017,0.3,Nests,Regular,AS,845,3
3,Palace-Cun,2018,0.3,Nests,Regular,AS,128,5
3,Palace-Cun,2019,0.3,Nests,Regular,AS,1273,5
3,Palace-Cun,2010,0.3,Hatchlings,Regular,BS,44647,107
3,Palace-Cun,2011,0.3,Hatchlings,Regular,BS,24709,0
3,Palace-Cun,2012,0.3,Hatchlings,Regular,BS,29303,306
3,Palace-Cun,2013,0.3,Hatchlings,Regular,BS,42616,312
3,Palace-Cun,2014,0.3,Hatchlings,Regular,BS,14622,694
3,Palace-Cun,2015,0.3,Hatchlings,Regular,AS,52603,330
3,Palace-Cun,2016,0.3,Hatchlings,Regular,AS,20930,744
3,Palace-Cun,2017,0.3,Hatchlings,Regular,AS,74517,303
3,Palace-Cun,2018,0.3,Hatchlings,Regular,AS,13128,483
3,Palace-Cun,2019,0.3,Hatchlings,Regular,AS,123954,361
4,Tamul,2010,12,Nests,Very High,BS,1181,98
4,Tamul,2011,12,Nests,Very High,BS,1010,5
4,Tamul,2012,12,Nests,Very High,BS,1234,21
4,Tamul,2013,12,Nests,Very High,BS,1914,17
4,Tamul,2014,12,Nests,Very High,BS,778,46
4,Tamul,2015,9,Nests,Very High,AS,1647,16
4,Tamul,2016,9,Nests,Very High,AS,915,36
4,Tamul,2017,9,Nests,Very High,AS,2100,14
4,Tamul,2018,9,Nests,Very High,AS,489,20
4,Tamul,2019,7,Nests,Very High,AS,1821,19
4,Tamul,2010,12,Hatchlings,Very High,BS,110081,7901
4,Tamul,2011,12,Hatchlings,Very High,BS,75810,296
4,Tamul,2012,12,Hatchlings,Very High,BS,115999,1687
4,Tamul,2013,12,Hatchlings,Very High,BS,188701,1560
4,Tamul,2014,12,Hatchlings,Very High,BS,74863,4504
4,Tamul,2015,9,Hatchlings,Very High,AS,152884,1367
4,Tamul,2016,9,Hatchlings,Very High,AS,83339,2550
4,Tamul,2017,9,Hatchlings,Very High,AS,192124,1353
4,Tamul,2018,9,Hatchlings,Very High,AS,48178,1616
4,Tamul,2019,7,Hatchlings,Very High,AS,182164,1617
5,Punta Venado,2010,4.5,Nests,Regular,BS,201,95
5,Punta Venado,2011,4.5,Nests,Regular,BS,117,80
5,Punta Venado,2012,4.5,Nests,Regular,BS,144,133
5,Punta Venado,2013,4.5,Nests,Regular,BS,219,69
5,Punta Venado,2014,4.5,Nests,Regular,BS,54,66
5,Punta Venado,2015,4.5,Nests,Regular,AS,288,89
5,Punta Venado,2016,4.5,Nests,Regular,AS,158,194
5,Punta Venado,2017,4.5,Nests,Regular,AS,344,100
5,Punta Venado,2018,4.5,Nests,Regular,AS,127,197
5,Punta Venado,2019,4.5,Nests,Regular,AS,268,119
5,Punta Venado,2010,4.5,Hatchlings,Regular,BS,10177,5293
5,Punta Venado,2011,4.5,Hatchlings,Regular,BS,4657,2455
5,Punta Venado,2012,4.5,Hatchlings,Regular,BS,3660,4117
5,Punta Venado,2013,4.5,Hatchlings,Regular,BS,14326,3723
5,Punta Venado,2014,4.5,Hatchlings,Regular,BS,2154,2998
5,Punta Venado,2015,4.5,Hatchlings,Regular,AS,19848,5684
5,Punta Venado,2016,4.5,Hatchlings,Regular,AS,8754,9171
5,Punta Venado,2017,4.5,Hatchlings,Regular,AS,24191,5606
5,Punta Venado,2018,4.5,Hatchlings,Regular,AS,8589,11460
5,Punta Venado,2019,4.5,Hatchlings,Regular,AS,16333,7484
6,Paamul,2010,2.5,Nests,Low,BS,171,92
6,Paamul,2011,2.5,Nests,Low,BS,140,62
6,Paamul,2012,2.5,Nests,Low,BS,207,144
6,Paamul,2013,2.5,Nests,Low,BS,176,58
6,Paamul,2014,2.5,Nests,Low,BS,146,139
6,Paamul,2015,2.5,Nests,Low,AS,294,89
6,Paamul,2016,2.5,Nests,Low,AS,211,175
6,Paamul,2017,2.5,Nests,Low,AS,613,131
6,Paamul,2018,2.5,Nests,Low,AS,353,231
6,Paamul,2019,2.5,Nests,Low,AS,485,88
6,Paamul,2010,2.5,Hatchlings,Low,BS,13537,7899
6,Paamul,2011,2.5,Hatchlings,Low,BS,9472,4188
6,Paamul,2012,2.5,Hatchlings,Low,BS,10296,5776
6,Paamul,2013,2.5,Hatchlings,Low,BS,13849,3548
6,Paamul,2014,2.5,Hatchlings,Low,BS,7639,6839
6,Paamul,2015,2.5,Hatchlings,Low,AS,24110,3146
6,Paamul,2016,2.5,Hatchlings,Low,AS,10817,10082
6,Paamul,2017,2.5,Hatchlings,Low,AS,55433,7900
6,Paamul,2018,2.5,Hatchlings,Low,AS,27160,12665
6,Paamul,2019,2.5,Hatchlings,Low,AS,18046,5837
7,Aventuras DIF,2010,1.5,Nests,Regular,BS,541,316
7,Aventuras DIF,2011,1.5,Nests,Regular,BS,475,278
7,Aventuras DIF,2012,1.5,Nests,Regular,BS,765,484
7,Aventuras DIF,2013,1.5,Nests,Regular,BS,918,371
7,Aventuras DIF,2014,1.5,Nests,Regular,BS,541,515
7,Aventuras DIF,2015,1.5,Nests,Regular,AS,1301,545
7,Aventuras DIF,2016,1.5,Nests,Regular,AS,485,607
7,Aventuras DIF,2017,1.5,Nests,Regular,AS,1900,447
7,Aventuras DIF,2018,1.5,Nests,Regular,AS,380,469
7,Aventuras DIF,2019,1.5,Nests,Regular,AS,1062,491
7,Aventuras DIF,2010,1.5,Hatchlings,Regular,BS,51298,27548
7,Aventuras DIF,2011,1.5,Hatchlings,Regular,BS,47753,23010
7,Aventuras DIF,2012,1.5,Hatchlings,Regular,BS,55157,28117
7,Aventuras DIF,2013,1.5,Hatchlings,Regular,BS,82960,27568
7,Aventuras DIF,2014,1.5,Hatchlings,Regular,BS,44704,38136
7,Aventuras DIF,2015,1.5,Hatchlings,Regular,AS,99924,42226
7,Aventuras DIF,2016,1.5,Hatchlings,Regular,AS,41384,43347
7,Aventuras DIF,2017,1.5,Hatchlings,Regular,AS,151486,37380
7,Aventuras DIF,2018,1.5,Hatchlings,Regular,AS,22671,31771
7,Aventuras DIF,2019,1.5,Hatchlings,Regular,AS,96827,31772
8,Chemuyil,2010,2,Nests,High,BS,235,77
8,Chemuyil,2011,2,Nests,High,BS,225,50
8,Chemuyil,2012,2,Nests,High,BS,327,120
8,Chemuyil,2013,2,Nests,High,BS,366,78
8,Chemuyil,2014,2,Nests,High,BS,124,98
8,Chemuyil,2015,2,Nests,High,AS,96,39
8,Chemuyil,2016,2,Nests,High,AS,196,136
8,Chemuyil,2017,2,Nests,High,AS,415,63
8,Chemuyil,2018,2,Nests,High,AS,48,30
8,Chemuyil,2019,2,Nests,High,AS,125,34
8,Chemuyil,2010,2,Hatchlings,High,BS,16091,6352
8,Chemuyil,2011,2,Hatchlings,High,BS,16448,3004
8,Chemuyil,2012,2,Hatchlings,High,BS,23725,8385
